Year,Share.with.medical.debt.in.collections,Share.with.medical.debt.in.collections...Majority.White,Hospital.market.concentration..HHI.,Number.of.Closures.and.Mergers,Share.of.the.population.with.no.health.insurance.coverage,Share.of.non.elderly.adults.with.a.reported.disability,Average.household.income.in..2023,FIPS
2013,0.279,0.279,1165,0,0.166,0.143,82542,40043
2014,0.232,0.232,1227,0,0.174,0.14,84168,40043
2015,0.225,0.225,1246,0,0.151,0.138,87452,40043
2016,0.194,0.194,1242,0,0.144,0.123,83944,40043
2017,0.185,0.185,1202,0,0.16,0.132,85851,40043
2018,0.215,0.215,1303,0,0.184,0.145,89343,40043
2019,0.173,0.173,1338,0,0.163,0.147,90307,40043
2020,0.192,0.192,1450,0,0.185,0.177,87020,40043
2021,0.196,0.196,1427,0,0.18,0.182,88362,40043
2022,0.196,0.196,1417,0,0.154,0.184,89548,40043
2023,0.088,0.088,NA,NA,NA,NA,NA,40043
2011,0.164,0.164,948,0,NA,NA,78365,40045
2012,0.182,0.182,1053,0,0.125,0.142,82561,40045
2013,0.273,0.273,1167,0,0.1,0.149,83802,40045
2014,NA,NA,1228,0,0.095,0.131,87466,40045
2015,0.245,0.25,1247,0,0.105,0.119,86848,40045
2016,0.304,0.309,1244,0,0.113,0.102,89285,40045
2017,0.183,0.186,1203,0,0.128,0.105,81492,40045
2018,0.222,0.226,1305,0,0.136,0.119,78834,40045
2019,0.293,0.293,1340,0,0.137,0.141,77643,40045
2020,0.246,0.246,1451,0,0.127,0.175,75694,40045
2021,0.262,0.262,1428,0,0.151,0.202,76096,40045
2022,0.242,0.242,1419,0,0.145,0.206,78663,40045
2023,0.152,0.152,NA,NA,NA,NA,NA,40045
2011,0.309,0.309,946,0,NA,NA,77658,40047
2012,0.336,0.336,1051,0,0.168,0.14,78285,40047
2013,0.333,0.333,1165,0,0.165,0.142,78415,40047
2014,0.33,0.33,1227,0,0.15,0.128,79483,40047
2015,0.308,0.308,1246,0,0.138,0.13,81045,40047
2016,0.271,0.272,1242,0,0.132,0.126,80492,40047
2017,0.292,0.293,1202,0,0.133,0.131,80944,40047
2018,0.293,0.293,1303,0,0.131,0.127,80486,40047
2019,0.316,0.316,1338,0,0.147,0.132,84782,40047
2020,0.314,0.314,1450,0,0.157,0.151,83361,40047
2021,0.302,0.302,1427,0,0.16,0.167,85423,40047
2022,0.253,0.253,1417,0,0.146,0.176,85779,40047
2023,0.149,0.149,NA,NA,NA,NA,NA,40047
2011,0.274,0.274,947,0,NA,NA,72649,40049
2012,0.276,0.276,1052,0,0.202,0.153,70072,40049
2013,0.286,0.286,1166,0,0.19,0.15,71137,40049
2014,0.27,0.27,1228,0,0.193,0.128,69074,40049
2015,0.271,0.271,1246,0,0.171,0.121,69992,40049
2016,0.261,0.261,1243,0,0.162,0.119,71386,40049
2017,0.306,0.306,1202,0,0.155,0.122,70804,40049
2018,0.254,0.254,1304,0,0.156,0.126,71197,40049
2019,0.252,0.252,1339,1,0.149,0.129,75668,40049
2020,0.278,0.278,1451,0,0.176,0.143,73843,40049
2021,0.283,0.283,1427,0,0.176,0.142,74568,40049
2022,0.251,0.251,1418,0,0.167,0.15,75460,40049
2023,0.118,0.118,NA,NA,NA,NA,NA,40049
2011,0.207,0.207,961,0,NA,NA,79391,40051
2012,0.244,0.244,1065,0,0.171,0.13,79364,40051
2013,0.24,0.24,1179,0,0.167,0.133,79764,40051
2014,0.247,0.247,1240,0,0.162,0.137,81356,40051
2015,0.248,0.248,1259,0,0.154,0.133,83802,40051
2016,0.23,0.23,1256,0,0.139,0.131,87190,40051
2017,0.243,0.243,1217,0,0.125,0.149,89088,40051
2018,0.242,0.242,1318,0,0.118,0.149,91033,40051
2019,0.222,0.222,1354,0,0.115,0.149,95176,40051
2020,0.235,0.235,1467,0,0.123,0.148,95671,40051
2021,0.243,0.243,1442,0,0.125,0.149,95068,40051
2022,0.191,0.191,1433,0,0.126,0.148,93283,40051
2023,0.122,0.122,NA,NA,NA,NA,NA,40051
2011,0.205,0.205,938,0,NA,NA,73441,40053
2012,0.155,0.155,1039,0,0.176,0.118,76051,40053
2013,0.187,0.187,1149,0,0.143,0.11,82249,40053
2014,0.169,0.169,1207,0,0.119,0.126,83699,40053
2015,0.194,0.194,1228,0,0.101,0.115,85404,40053
2016,0.233,0.233,1224,0,0.083,0.098,87051,40053
2017,0.237,0.237,1186,0,0.081,0.119,85247,40053
2018,0.247,0.247,1283,0,0.079,0.156,84537,40053
2019,0.233,0.233,1316,0,0.099,0.137,83321,40053
2020,0.176,0.176,1424,0,0.114,0.13,80115,40053
2021,0.208,0.208,1400,0,0.113,0.162,84065,40053
2022,0.173,0.173,1391,0,0.107,0.123,85950,40053
2023,0.109,0.109,NA,NA,NA,NA,NA,40053
2011,0.304,0.304,946,0,NA,NA,61729,40055
2012,0.323,0.323,1051,0,0.186,0.152,62801,40055
2013,0.318,0.318,1165,0,0.205,0.127,62985,40055
2014,0.315,0.315,1227,0,0.195,0.137,68051,40055
2015,0.358,0.358,1246,0,0.188,0.125,66616,40055
2016,0.43,0.43,1242,0,0.164,0.175,67349,40055
2017,0.393,0.393,1202,0,0.142,0.161,64696,40055
2018,0.366,0.366,1303,0,0.18,0.226,59957,40055
2019,0.375,0.375,1338,0,0.17,0.215,61509,40055
2020,0.325,0.325,1450,0,0.134,0.227,65776,40055
2021,0.369,0.369,1427,0,0.149,0.232,67008,40055
2022,0.384,0.384,1417,0,0.132,0.209,64192,40055
2023,0.211,0.211,NA,NA,NA,NA,NA,40055
2011,NA,NA,960,0,NA,NA,62147,40057
2012,NA,NA,1065,0,0.189,0.2,64701,40057
2013,NA,NA,1176,0,0.176,0.207,62596,40057
2014,NA,NA,1239,0,0.152,0.192,65624,40057
2015,NA,NA,1261,0,0.145,0.176,62853,40057
2016,NA,NA,1259,0,0.153,0.17,65118,40057
2017,NA,NA,1218,0,0.166,0.193,64971,40057
2018,NA,NA,1320,0,0.133,0.211,69594,40057
2019,NA,NA,1354,0,0.152,0.235,77781,40057
2020,0.6,0.6,1463,0,0.174,0.211,84514,40057
2021,0.403,0.403,1438,0,0.198,0.2,81603,40057
2022,0.38,0.38,1430,0,0.185,0.165,84279,40057
2023,0.253,0.253,NA,NA,NA,NA,NA,40057
2011,0.149,0.149,948,0,NA,NA,77194,40059
2012,0.179,0.179,1052,0,0.158,0.067,74236,40059
2013,0.164,0.164,1165,0,0.173,0.078,70937,40059
2014,0.147,0.147,1226,0,0.172,0.083,73486,40059
2015,0.171,0.171,1246,0,0.144,0.082,78845,40059
2016,0.156,0.156,1243,0,0.148,0.085,78885,40059
2017,0.093,0.093,1203,0,0.152,0.111,74839,40059
2018,0.103,0.103,1304,0,0.135,0.092,78457,40059
2019,0.086,0.086,1338,0,0.123,0.215,72291,40059
2020,0.077,0.077,1449,0,0.143,0.214,64391,40059
2021,0.155,0.155,1425,0,0.139,0.167,67996,40059
2022,0.128,0.128,1416,0,0.115,0.173,71949,40059
2023,0.06,0.06,NA,NA,NA,NA,NA,40059
2011,0.247,0.247,2661,0,NA,NA,66178,40061
2012,0.284,0.284,2668,0,0.24,0.199,65175,40061
2013,0.263,0.263,3393,0,0.243,0.212,60783,40061
2014,0.265,0.265,3510,0,0.246,0.211,59877,40061
2015,0.308,0.308,3274,0,0.234,0.226,59620,40061
2016,0.321,0.321,3466,0,0.218,0.217,60573,40061
2017,0.281,0.281,3495,0,0.206,0.224,62968,40061
2018,0.269,0.269,3752,0,0.185,0.237,65093,40061
2019,0.233,0.233,3957,0,0.179,0.231,66633,40061
2020,0.152,0.152,3498,0,0.179,0.225,68711,40061
2021,0.168,0.168,3842,0,0.185,0.222,66715,40061
2022,0.144,0.144,3857,0,0.182,0.221,65501,40061
2023,0.073,0.073,NA,NA,NA,NA,NA,40061
2011,0.265,0.266,1020,0,NA,NA,66598,40063
2012,0.268,0.268,1117,0,0.243,0.19,65406,40063
2013,0.288,0.288,1211,0,0.237,0.193,64995,40063
2014,0.263,0.263,1277,0,0.231,0.2,64906,40063
2015,0.272,0.272,1293,0,0.213,0.181,64848,40063
2016,0.279,0.279,1312,0,0.205,0.183,61438,40063
2017,0.272,0.272,1336,0,0.206,0.19,65100,40063
2018,0.279,0.279,1413,0,0.204,0.215,70955,40063
2019,0.203,0.203,1453,0,0.196,0.183,67772,40063
2020,0.179,0.179,1552,0,0.195,0.19,68604,40063
2021,0.201,0.201,1534,0,0.197,0.181,69474,40063
2022,0.168,0.168,1529,0,0.19,0.203,67020,40063
2023,0.09,0.09,NA,NA,NA,NA,NA,40063
2011,0.284,0.284,950,0,NA,NA,71585,40065
2012,0.298,0.298,1055,0,0.178,0.128,73174,40065
2013,0.32,0.32,1169,0,0.169,0.126,73880,40065
2014,0.34,0.34,1231,0,0.157,0.124,72422,40065
2015,0.321,0.321,1249,0,0.162,0.132,70766,40065
2016,0.315,0.315,1246,0,0.145,0.125,74702,40065
2017,0.313,0.313,1206,0,0.131,0.124,72269,40065
2018,0.303,0.303,1307,0,0.134,0.136,71432,40065
2019,0.31,0.31,1342,0,0.128,0.118,77051,40065
2020,0.313,0.313,1455,0,0.137,0.11,79270,40065
2021,0.291,0.291,1431,0,0.137,0.116,79675,40065
2022,0.298,0.298,1422,0,0.134,0.129,79994,40065
2023,0.188,0.188,NA,NA,NA,NA,NA,40065
2011,0.31,0.31,2519,0,NA,NA,60578,40067
2012,0.28,0.28,2535,0,0.22,0.171,63188,40067
2013,0.293,0.293,2585,0,0.202,0.156,61148,40067
2014,0.325,0.325,2627,0,0.2,0.179,60509,40067
2015,0.373,0.373,2700,0,0.215,0.206,60300,40067
2016,0.31,0.31,2726,0,0.208,0.218,61454,40067
2017,0.286,0.286,2787,0,0.199,0.221,58845,40067
2018,0.292,0.292,2831,0,0.186,0.219,57941,40067
2019,0.252,0.252,3015,0,0.177,0.213,72303,40067
2020,0.263,0.263,3250,0,0.151,0.188,70791,40067
2021,0.279,0.279,3052,0,0.152,0.221,69063,40067
2022,0.237,0.237,3087,0,0.148,0.206,73628,40067
2023,0.111,0.111,NA,NA,NA,NA,NA,40067
2011,0.248,0.248,946,0,NA,NA,68950,40069
2012,0.232,0.232,1050,0,0.237,0.256,65476,40069
2013,0.201,0.201,1162,0,0.223,0.261,64776,40069
2014,0.252,0.252,1224,0,0.217,0.265,63930,40069
2015,0.29,0.29,1243,0,0.215,0.252,65620,40069
2016,0.204,0.204,1240,0,0.208,0.257,62075,40069
2017,0.241,0.241,1199,0,0.192,0.234,64411,40069
2018,0.293,0.293,1300,0,0.182,0.235,62984,40069
2019,0.233,0.233,1335,0,0.167,0.226,63459,40069
2020,0.228,0.228,1446,0,0.147,0.221,64492,40069
2021,0.234,0.234,1423,0,0.167,0.225,67257,40069
2022,0.207,0.207,1414,0,0.162,0.229,64259,40069
2023,0.118,0.118,NA,NA,NA,NA,NA,40069
2011,0.29,0.29,946,0,NA,NA,71938,40071
2012,0.307,0.307,1051,0,0.19,0.159,71050,40071
2013,0.268,0.268,1165,0,0.186,0.158,71152,40071
2014,0.282,0.282,1226,0,0.181,0.152,71294,40071
2015,0.293,0.293,1245,0,0.17,0.155,71904,40071
2016,0.231,0.231,1241,0,0.159,0.157,72132,40071
2017,0.302,0.302,1201,0,0.145,0.165,73201,40071
2018,0.301,0.301,1302,0,0.137,0.18,73821,40071
2019,0.268,0.268,1337,0,0.135,0.192,76087,40071
2020,0.228,0.228,1449,0,0.131,0.189,75393,40071
2021,0.257,0.257,1425,0,0.127,0.185,76287,40071
2022,0.225,0.225,1416,0,0.13,0.185,76704,40071
2023,0.125,0.125,NA,NA,NA,NA,NA,40071
2011,0.213,0.213,946,0,NA,NA,87462,40073
2012,0.22,0.22,1051,0,0.151,0.135,83368,40073
2013,0.219,0.219,1165,0,0.146,0.132,85527,40073
2014,0.235,0.235,1227,0,0.138,0.138,87727,40073
2015,0.232,0.232,1246,0,0.137,0.15,91169,40073
2016,0.216,0.216,1242,0,0.127,0.144,98762,40073
2017,0.268,0.268,1202,0,0.122,0.148,103817,40073
2018,0.248,0.248,1303,0,0.111,0.128,102921,40073
2019,0.185,0.185,1338,0,0.137,0.118,101314,40073
2020,0.185,0.185,1450,0,0.132,0.103,101798,40073
2021,0.175,0.175,1427,0,0.146,0.107,96069,40073
2022,0.158,0.158,1417,0,0.15,0.109,94167,40073
2023,0.068,0.068,NA,NA,NA,NA,NA,40073
2011,0.269,0.269,1654,0,NA,NA,64915,40075
2012,0.271,0.266,1723,0,0.199,0.19,66044,40075
2013,0.31,0.31,1812,0,0.191,0.195,72144,40075
2014,0.31,0.31,1864,0,0.188,0.176,70103,40075
2015,0.304,0.304,1907,0,0.166,0.17,71223,40075
2016,0.312,0.312,1916,0,0.17,0.17,68900,40075
2017,0.343,0.343,1920,0,0.152,0.177,67720,40075
2018,0.364,0.364,2000,0,0.142,0.198,60275,40075
2019,0.358,0.358,2101,0,0.14,0.2,62451,40075
2020,0.315,0.315,2271,0,0.14,0.2,61574,40075
2021,0.31,0.31,2168,0,0.137,0.208,61011,40075
2022,0.296,0.296,2177,0,0.13,0.212,60495,40075
2023,0.208,0.208,NA,NA,NA,NA,NA,40075
2011,0.236,0.236,2454,0,NA,NA,72440,40077
2012,0.313,0.313,2466,0,0.224,0.209,71169,40077
2013,0.365,0.365,3037,0,0.212,0.211,74085,40077
2014,0.376,0.376,3150,0,0.224,0.212,70295,40077
2015,0.421,0.421,2960,0,0.211,0.195,69735,40077
2016,0.341,0.341,3152,0,0.205,0.195,70475,40077
2017,0.309,0.309,3281,0,0.199,0.203,73898,40077
2018,0.317,0.317,3465,0,0.189,0.204,71615,40077
2019,0.19,0.19,3645,1,0.201,0.205,72772,40077
2020,0.176,0.176,3276,0,0.195,0.197,72336,40077
2021,0.228,0.228,3558,0,0.212,0.188,70351,40077
2022,0.162,0.162,3575,0,0.201,0.183,63259,40077
2023,0.082,0.082,NA,NA,NA,NA,NA,40077
2011,0.348,0.348,2676,0,NA,NA,63048,40079
2012,0.325,0.325,2682,0,0.241,0.195,62158,40079
2013,0.314,0.314,3418,0,0.241,0.192,61821,40079
2014,0.328,0.328,3535,0,0.239,0.201,61887,40079
2015,0.317,0.317,3297,0,0.222,0.192,63354,40079
2016,0.326,0.326,3488,0,0.212,0.194,63827,40079
2017,0.334,0.334,3510,0,0.198,0.196,65676,40079
2018,0.315,0.315,3773,0,0.18,0.203,65348,40079
2019,0.29,0.29,3979,0,0.18,0.197,65156,40079
2020,0.277,0.277,3513,0,0.192,0.2,65138,40079
2021,0.268,0.268,3861,0,0.19,0.196,65062,40079
2022,0.225,0.225,3877,0,0.19,0.196,63874,40079
2023,0.117,0.117,NA,NA,NA,NA,NA,40079
2011,0.29,0.289,1033,0,NA,NA,72635,40081
2012,0.297,0.296,1129,0,0.178,0.195,71843,40081
2013,0.311,0.311,1219,0,0.179,0.194,72503,40081
2014,0.32,0.319,1285,0,0.172,0.193,73617,40081
2015,0.322,0.322,1301,0,0.165,0.185,74783,40081
2016,0.276,0.275,1324,0,0.15,0.181,77400,40081
2017,0.279,0.28,1360,0,0.145,0.178,76616,40081
2018,0.288,0.288,1432,0,0.135,0.173,76982,40081
2019,0.301,0.3,1473,0,0.139,0.17,78107,40081
2020,0.287,0.286,1571,0,0.128,0.174,78254,40081
2021,0.274,0.274,1553,0,0.135,0.171,79730,40081
2022,0.234,0.233,1549,0,0.129,0.172,79352,40081
2023,0.117,0.117,NA,NA,NA,NA,NA,40081
2011,0.271,0.267,947,0,NA,NA,93441,40083
2012,0.275,0.276,1052,0,0.158,0.12,95280,40083
2013,0.277,0.278,1166,0,0.163,0.116,92970,40083
2014,0.272,0.275,1227,0,0.167,0.102,93428,40083
2015,0.266,0.267,1246,0,0.148,0.106,98472,40083
2016,0.221,0.219,1243,0,0.136,0.113,96575,40083
2017,0.237,0.236,1202,0,0.129,0.118,95459,40083
2018,0.232,0.229,1304,0,0.12,0.123,97912,40083
2019,0.223,0.22,1339,0,0.12,0.139,102994,40083
2020,0.194,0.192,1451,0,0.129,0.129,117087,40083
2021,0.193,0.189,1427,0,0.125,0.126,116698,40083
2022,0.15,0.15,1418,0,0.125,0.133,116152,40083
2023,0.083,0.084,NA,NA,NA,NA,NA,40083
2011,0.371,0.371,946,0,NA,NA,72500,40085
2012,0.336,0.336,1048,0,0.16,0.143,72375,40085
2013,0.353,0.353,1160,0,0.154,0.143,69296,40085
2014,0.345,0.345,1221,0,0.147,0.149,70276,40085
2015,0.311,0.311,1240,0,0.161,0.159,71434,40085
2016,0.226,0.226,1238,0,0.133,0.16,72932,40085
2017,0.262,0.262,1197,0,0.127,0.17,74117,40085
2018,0.243,0.243,1297,0,0.124,0.182,73726,40085
2019,0.256,0.256,1332,0,0.144,0.213,73120,40085
2020,0.253,0.253,1442,0,0.135,0.222,76001,40085
2021,0.227,0.227,1419,0,0.15,0.211,74757,40085
2022,0.204,0.204,1411,0,0.152,0.208,77761,40085
2023,0.093,0.093,NA,NA,NA,NA,NA,40085
2011,0.27,0.27,946,0,NA,NA,90709,40087
2012,0.253,0.253,1051,0,0.154,0.144,89028,40087
2013,0.254,0.254,1165,0,0.152,0.14,88200,40087
2014,0.247,0.247,1227,0,0.142,0.136,90275,40087
2015,0.236,0.236,1246,0,0.133,0.119,90698,40087
2016,0.214,0.214,1242,0,0.133,0.115,91317,40087
2017,0.24,0.24,1202,0,0.124,0.104,94041,40087
2018,0.222,0.222,1303,0,0.12,0.102,96884,40087
2019,0.23,0.23,1338,0,0.117,0.1,102654,40087
2020,0.195,0.195,1450,0,0.113,0.115,102207,40087
2021,0.227,0.227,1427,0,0.105,0.115,104922,40087
2022,0.191,0.191,1417,0,0.106,0.13,106406,40087
2023,0.088,0.088,NA,NA,NA,NA,NA,40087
2011,0.183,0.186,2223,0,NA,NA,59225,40089
2012,0.221,0.225,2831,0,0.237,0.236,58034,40089
2013,0.313,0.316,3128,0,0.243,0.216,57099,40089
2014,0.315,0.318,3205,0,0.234,0.203,57127,40089
2015,0.327,0.327,3065,0,0.229,0.192,57699,40089
2016,0.302,0.303,3129,0,0.216,0.184,58203,40089
2017,0.316,0.318,3007,0,0.212,0.188,58817,40089
2018,0.31,0.312,3353,0,0.21,0.194,59736,40089
2019,0.227,0.226,3466,0,0.222,0.182,62066,40089
2020,0.222,0.225,3454,0,0.221,0.182,61801,40089
2021,0.232,0.233,3688,0,0.218,0.189,63893,40089
2022,0.193,0.196,3748,0,0.204,0.188,66094,40089
2023,0.104,0.105,NA,NA,NA,NA,NA,40089
2011,0.279,0.28,1611,0,NA,NA,56222,40091
2012,0.267,0.269,1646,0,0.236,0.246,57080,40091
2013,0.288,0.29,1578,0,0.214,0.235,59538,40091
2014,0.31,0.311,1678,0,0.2,0.215,60284,40091
2015,0.3,0.3,1675,0,0.192,0.212,61675,40091
2016,0.3,0.301,1872,0,0.176,0.215,62517,40091
2017,0.274,0.275,2420,0,0.178,0.202,63504,40091
2018,0.245,0.246,2297,0,0.182,0.208,63413,40091
2019,0.204,0.205,2376,0,0.196,0.212,63884,40091
2020,0.187,0.187,2378,0,0.221,0.222,63663,40091
2021,0.177,0.178,2404,0,0.237,0.204,63819,40091
2022,0.139,0.139,2430,0,0.239,0.212,61410,40091
2023,0.091,0.09,NA,NA,NA,NA,NA,40091
2011,0.212,0.212,946,0,NA,NA,85191,40093
2012,0.198,0.198,1051,0,0.163,0.156,86622,40093
2013,0.177,0.177,1165,0,0.151,0.162,86533,40093
2014,0.217,0.217,1227,0,0.164,0.175,85604,40093
2015,0.2,0.2,1246,0,0.123,0.166,88581,40093
2016,0.225,0.225,1242,0,0.124,0.159,88877,40093
2017,0.303,0.303,1202,0,0.113,0.157,88493,40093
2018,0.256,0.256,1303,0,0.104,0.133,87619,40093
2019,0.26,0.26,1338,0,0.103,0.121,84509,40093
2020,0.224,0.224,1450,0,0.13,0.133,84208,40093
2021,0.216,0.216,1427,0,0.126,0.149,80759,40093
2022,0.168,0.168,1417,0,0.109,0.139,85225,40093
2023,0.062,0.062,NA,NA,NA,NA,NA,40093
2011,0.296,0.296,946,0,NA,NA,65976,40095
2012,0.32,0.32,1051,0,0.219,0.233,63415,40095
2013,0.324,0.324,1165,0,0.212,0.263,64060,40095
2014,0.316,0.313,1226,0,0.214,0.273,68534,40095
2015,0.313,0.313,1245,0,0.2,0.289,66916,40095
2016,0.287,0.287,1242,0,0.171,0.288,69005,40095
2017,0.31,0.31,1201,0,0.166,0.255,70625,40095
2018,0.251,0.251,1303,0,0.178,0.25,73192,40095
2019,0.216,0.216,1338,0,0.174,0.233,68987,40095
2020,0.257,0.257,1449,0,0.167,0.21,74074,40095
2021,0.267,0.267,1426,0,0.185,0.206,74570,40095
2022,0.201,0.201,1417,0,0.19,0.203,73410,40095
2023,0.149,0.149,NA,NA,NA,NA,NA,40095
2011,0.285,0.274,1611,0,NA,NA,68162,40097
2012,0.299,0.284,1647,0,0.212,0.186,65903,40097
2013,0.298,0.289,1579,0,0.2,0.177,67497,40097
2014,0.241,0.221,1678,0,0.207,0.177,67130,40097
2015,0.233,0.223,1676,0,0.194,0.183,67337,40097
2016,0.222,0.212,1872,0,0.173,0.194,69787,40097
2017,0.23,0.216,2421,0,0.158,0.204,70948,40097
2018,0.22,0.216,2298,0,0.155,0.203,73632,40097
2019,0.225,0.228,2377,0,0.154,0.206,73961,40097
2020,0.171,0.17,2379,0,0.165,0.203,74613,40097
2021,0.244,0.245,2404,0,0.176,0.208,76161,40097
2022,0.219,0.221,2430,0,0.16,0.208,76238,40097
2023,0.072,0.07,NA,NA,NA,NA,NA,40097
2011,0.286,0.286,946,0,NA,NA,71614,40099
2012,0.318,0.318,1051,0,0.184,0.174,75278,40099
2013,0.307,0.307,1165,0,0.208,0.168,71817,40099
2014,0.329,0.329,1227,0,0.204,0.161,72968,40099
2015,0.347,0.347,1246,0,0.19,0.17,72905,40099
2016,0.305,0.305,1242,0,0.175,0.158,76761,40099
2017,0.319,0.319,1202,0,0.167,0.192,76461,40099
2018,0.325,0.325,1303,0,0.141,0.221,79469,40099
2019,0.257,0.257,1338,0,0.139,0.223,79277,40099
2020,0.177,0.177,1450,0,0.14,0.222,80251,40099
2021,0.196,0.196,1427,0,0.141,0.231,81286,40099
2022,0.179,0.179,1417,0,0.127,0.227,84822,40099
2023,0.058,0.058,NA,NA,NA,NA,NA,40099
2011,0.306,0.259,1612,0,NA,NA,66605,40101
2012,0.323,0.286,1647,0,0.212,0.183,65377,40101
2013,0.32,0.284,1580,1,0.215,0.179,66039,40101
2014,0.325,0.29,1680,0,0.21,0.177,67073,40101
2015,0.338,0.296,1677,0,0.205,0.173,67594,40101
2016,0.342,0.315,1873,0,0.197,0.169,69004,40101
2017,0.305,0.278,2421,0,0.188,0.167,69272,40101
2018,0.273,0.243,2299,0,0.177,0.162,70720,40101
2019,0.254,0.223,2378,0,0.165,0.164,72642,40101
2020,0.193,0.174,2380,0,0.164,0.183,68719,40101
2021,0.223,0.2,2406,0,0.161,0.199,70568,40101
2022,0.188,0.173,2432,0,0.155,0.212,71630,40101
2023,0.094,0.082,NA,NA,NA,NA,NA,40101
2011,0.222,0.21,1090,0,NA,NA,70233,40103
2012,0.262,0.246,1180,0,0.127,0.18,70720,40103
2013,0.258,0.245,1255,0,0.119,0.154,71908,40103
2014,0.265,0.258,1324,0,0.122,0.161,74954,40103
2015,0.299,0.293,1338,0,0.099,0.165,83173,40103
2016,0.249,0.234,1378,0,0.102,0.166,84898,40103
2017,0.229,0.216,1465,0,0.083,0.149,87147,40103
2018,0.207,0.187,1518,0,0.081,0.169,83803,40103
2019,0.234,0.215,1563,0,0.093,0.166,83956,40103
2020,0.275,0.265,1651,0,0.1,0.148,85914,40103
2021,0.269,0.248,1638,0,0.1,0.166,84892,40103
2022,0.22,0.209,1636,0,0.083,0.164,84944,40103
2023,0.131,0.12,NA,NA,NA,NA,NA,40103
2011,0.179,0.179,1611,0,NA,NA,75367,40105
2012,0.203,0.203,1647,0,0.176,0.193,64087,40105
2013,0.188,0.188,1579,0,0.185,0.185,62483,40105
2014,0.228,0.228,1678,0,0.181,0.169,63257,40105
2015,0.208,0.208,1675,0,0.178,0.163,64432,40105
2016,0.2,0.2,1872,0,0.177,0.172,64592,40105
2017,0.211,0.211,2420,0,0.18,0.149,64307,40105
2018,0.212,0.212,2298,0,0.175,0.143,64742,40105
2019,0.26,0.26,2376,0,0.173,0.148,65380,40105
2020,0.118,0.118,2379,0,0.175,0.155,66370,40105
2021,0.199,0.199,2404,0,0.183,0.146,69904,40105
2022,0.163,0.163,2430,0,0.166,0.162,73942,40105
2023,0.059,0.059,NA,NA,NA,NA,NA,40105
2011,0.22,0.215,1409,0,NA,NA,55858,40107
2012,0.242,0.245,1466,0,0.231,0.26,55682,40107
2013,0.275,0.272,1453,0,0.208,0.247,59643,40107
2014,0.306,0.295,1541,0,0.206,0.234,59549,40107
2015,0.25,0.235,1545,0,0.216,0.212,61712,40107
2016,0.24,0.233,1681,0,0.216,0.192,62475,40107
2017,0.243,0.22,2051,0,0.23,0.181,62258,40107
2018,0.241,0.222,1996,0,0.237,0.182,59636,40107
2019,0.25,0.245,2062,0,0.236,0.183,61242,40107
2020,0.227,0.213,2097,0,0.211,0.179,65034,40107
2021,0.276,0.274,2108,0,0.203,0.193,63666,40107
2022,0.228,0.228,2123,0,0.16,0.22,64740,40107
2023,0.097,0.095,NA,NA,NA,NA,NA,40107
2011,0.316,0.272,946,0,NA,NA,87204,40109
2012,0.317,0.271,1051,0,0.199,0.121,86799,40109
2013,0.303,0.263,1165,0,0.196,0.12,86237,40109
2014,0.305,0.267,1227,0,0.188,0.118,87180,40109
2015,0.298,0.257,1246,1,0.178,0.118,88485,40109
2016,0.26,0.222,1242,0,0.165,0.12,89565,40109
2017,0.274,0.235,1202,0,0.153,0.124,91637,40109
2018,0.278,0.237,1303,0,0.144,0.124,93343,40109
2019,0.261,0.218,1338,1,0.14,0.124,95185,40109
2020,0.246,0.207,1450,0,0.141,0.126,95047,40109
2021,0.251,0.215,1427,0,0.14,0.125,94585,40109
2022,0.205,0.175,1417,0,0.14,0.125,94548,40109
2023,0.114,0.093,NA,NA,NA,NA,NA,40109
2011,0.34,0.345,1610,0,NA,NA,66719,40111
2012,0.372,0.376,1646,0,0.186,0.196,64416,40111
2013,0.382,0.386,1577,1,0.181,0.185,64573,40111
2014,0.378,0.381,1677,0,0.174,0.179,64711,40111
2015,0.402,0.405,1674,0,0.167,0.179,65031,40111
2016,0.364,0.365,1871,0,0.172,0.171,65474,40111
2017,0.347,0.348,2420,0,0.172,0.173,66395,40111
2018,0.33,0.331,2297,0,0.16,0.179,68639,40111
2019,0.337,0.339,2376,0,0.166,0.195,70791,40111
2020,0.28,0.284,2378,0,0.162,0.191,71931,40111
2021,0.308,0.312,2404,0,0.156,0.191,72979,40111
2022,0.267,0.269,2430,0,0.153,0.196,73489,40111
2023,0.123,0.124,NA,NA,NA,NA,NA,40111
2011,0.346,0.338,1570,0,NA,NA,75281,40113
2012,0.356,0.353,1610,0,0.18,0.146,73871,40113
2013,0.36,0.357,1552,0,0.174,0.15,73995,40113
2014,0.372,0.366,1650,0,0.159,0.145,73149,40113
2015,0.356,0.352,1648,0,0.151,0.159,74622,40113
2016,0.342,0.342,1833,0,0.138,0.162,75549,40113
2017,0.3,0.303,2346,0,0.13,0.157,76070,40113
2018,0.305,0.305,2237,0,0.124,0.149,74667,40113
2019,0.313,0.31,2313,0,0.124,0.148,76694,40113
2020,0.204,0.197,2322,0,0.137,0.142,78312,40113
2021,0.275,0.269,2344,0,0.129,0.155,79588,40113
2022,0.219,0.218,2368,0,0.125,0.172,79855,40113
2023,0.079,0.081,NA,NA,NA,NA,NA,40113
2011,0.295,0.295,2437,0,NA,NA,62658,40115
